"Type","Num_Rooms","Location","_2013","_2014","_2015","_2016","_2017"
"Detached house","One bed","Carlow",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Cavan",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Clare",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Cork",486.77,490.24,533.63,538.68,595.50
"Detached house","One bed","Donegal",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Dublin",781.93,826.38,926.22,1030.75,1083.84
"Detached house","One bed","Galway",0.00,437.11,506.77,539.62,581.87
"Detached house","One bed","Kerry",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Kildare",0.00,537.90,531.06,586.41,669.43
"Detached house","One bed","Kilkenny",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Laois",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Limerick",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Longford",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Louth",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Mayo",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Meath",0.00,0.00,0.00,0.00,612.39
"Detached house","One bed","Monaghan",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Offaly",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Sligo",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Tipperary",0.00,0.00,391.01,405.56,0.00
"Detached house","One bed","Waterford",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Westmeath",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Wexford",0.00,0.00,0.00,0.00,0.00
"Detached house","One bed","Wicklow",610.38,647.07,643.98,722.43,763.57
"Detached house","Two bed","Carlow",518.49,506.14,522.41,575.29,612.03
"Detached house","Two bed","Cavan",0.00,367.56,398.10,0.00,0.00
"Detached house","Two bed","Clare",428.74,426.28,428.48,459.97,509.45
"Detached house","Two bed","Cork",576.89,577.03,599.98,649.09,704.13
"Detached house","Two bed","Donegal",348.52,347.52,356.69,374.02,392.37
"Detached house","Two bed","Dublin",1069.00,1117.34,1224.29,1303.59,1372.09
"Detached house","Two bed","Galway",532.68,535.06,560.09,584.94,655.27
"Detached house","Two bed","Kerry",471.24,484.43,491.47,488.34,522.70
"Detached house","Two bed","Kildare",631.87,688.57,743.31,787.51,890.17
